"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"dot1dNotifications",".iso.org.dod.internet.mgmt.mib-2.dot1dBridge.dot1dNotifications",".1.3.6.1.2.1.17.0",,,"","BRIDGE-MIB",
"newRoot",".iso.org.dod.internet.mgmt.mib-2.dot1dBridge.dot1dNotifications.newRoot",".1.3.6.1.2.1.17.0.1",,,"","BRIDGE-MIB","The newRoot trap indicates that the sending agent has
become the new root of the Spanning Tree;the trap is
sent by a bridge soon after its election as the new
root, e.g., upon expiration of the Topology Change Timer,
immediately subsequent to its election.  Implementation
of this trap is optional."
"topologyChange",".iso.org.dod.internet.mgmt.mib-2.dot1dBridge.dot1dNotifications.topologyChange",".1.3.6.1.2.1.17.0.2",,,"","BRIDGE-MIB","A topologyChange trap is sent by a bridge when any of
its configured ports transitions from the Learning state
to the Forwarding state, or from the Forwarding state to
the Blocking state.  The trap is not sent if a newRoot
trap is sent for the same transition.  Implementation of
this trap is optional."
