"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"hh3cRtTabTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cRtTabStatGroup.hh3cRtTabTrap",".1.3.6.1.4.1.25506.2.38.1.3.5",,,"","HH3C-TRAP-MIB",
"hh3cRtTabFullTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cRtTabStatGroup.hh3cRtTabTrap.hh3cRtTabFullTrap",".1.3.6.1.4.1.25506.2.38.1.3.5.1",,,"","HH3C-TRAP-MIB","Send this trap when the routing table is filled.  The
interval between two traps generated should be longer
than hh3cRtTabTrapInterval."
"hh3cDetailRtTabFullTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cRtTabStatGroup.hh3cRtTabTrap.hh3cDetailRtTabFullTrap",".1.3.6.1.4.1.25506.2.38.1.3.5.2",,,"","HH3C-TRAP-MIB","Send this trap when the detail routing table is filled.  The
interval between two traps generated should be longer than
hh3cRtTabTrapInterval."
"hh3cDefaultRtDelTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cRtTabStatGroup.hh3cRtTabTrap.hh3cDefaultRtDelTrap",".1.3.6.1.4.1.25506.2.38.1.3.5.3",,,"","HH3C-TRAP-MIB","Send this trap when the default route is deleted."
