"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"hh3cMacTabTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cMacTabStatGroup.hh3cMacTabTrap",".1.3.6.1.4.1.25506.2.38.1.1.4",,,"","HH3C-TRAP-MIB",
"hh3cMacTabFullTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cMacTabStatGroup.hh3cMacTabTrap.hh3cMacTabFullTrap",".1.3.6.1.4.1.25506.2.38.1.1.4.1",,,"","HH3C-TRAP-MIB","Send this trap when the MAC table is filled.  The
interval between two traps generated should be longer
than hh3cMacTabTrapInterval."
"hh3cMacTabAlmostFullTrap",".iso.org.dod.internet.private.enterprises.hh3c.hh3cCommon.hh3cTrap.hh3cTableGroup.hh3cMacTabStatGroup.hh3cMacTabTrap.hh3cMacTabAlmostFullTrap",".1.3.6.1.4.1.25506.2.38.1.1.4.2",,,"","HH3C-TRAP-MIB","Send this trap when the MAC table is almost full.  The
interval between two traps generated should be longer
than hh3cMacTabTrapInterval."
