"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"storeServerTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup",".1.3.6.1.4.1.11150.88.4.0",,,"","Roamware-storeServer-V2-MIB",
"storeServerSysUp",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup.storeServerSysUp",".1.3.6.1.4.1.11150.88.4.0.1",,,"","Roamware-storeServer-V2-MIB","Indicates that the Store Server is up and active."
"storeServerSysDown",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup.storeServerSysDown",".1.3.6.1.4.1.11150.88.4.0.2",,,"","Roamware-storeServer-V2-MIB","Indicates that the Store Server is shutting down."
"storeServerBusConnStatus",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup.storeServerBusConnStatus",".1.3.6.1.4.1.11150.88.4.0.3",,,"","Roamware-storeServer-V2-MIB","Indicates the change in availability status of message complex."
"storeServerPeerConnStatus",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup.storeServerPeerConnStatus",".1.3.6.1.4.1.11150.88.4.0.4",,,"","Roamware-storeServer-V2-MIB","Indicates the change in peer connection status."
"storeServerTrapsResync",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup.storeServerTrapsResync",".1.3.6.1.4.1.11150.88.4.0.5",,,"","Roamware-storeServer-V2-MIB","Indicates the start and end of a trap resync operation."
"storeServerHeartbeat",".iso.org.dod.internet.private.enterprises.roamware.storeServer-mob.storeServerTrapsModule.storeServerTrapsGroup.storeServerHeartbeat",".1.3.6.1.4.1.11150.88.4.0.6",,,"","Roamware-storeServer-V2-MIB","Sent periodically to indicate that Store Server is alive"
