"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"ciscoClusterMIBNotifications",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoClusterMIB.ciscoClusterMIBNotificationsPrefix.ciscoClusterMIBNotifications",".1.3.6.1.4.1.9.9.134.2.0",,,"","CISCO-CLUSTER-MIB",
"ccStatusMemberStatusChange",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoClusterMIB.ciscoClusterMIBNotificationsPrefix.ciscoClusterMIBNotifications.ccStatusMemberStatusChange",".1.3.6.1.4.1.9.9.134.2.0.1",,,"","CISCO-CLUSTER-MIB","A cluster member status change notification
is generated whenever the value of any instance
of ccClusterMemberOperStatus changes after the
member is completely added to the cluster."
