"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"ciscoSyslogMIBNotifications",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoSyslogMIB.ciscoSyslogMIBNotificationPrefix.ciscoSyslogMIBNotifications",".1.3.6.1.4.1.9.9.41.2.0",,,"","CISCO-SYSLOG-MIB",
"clogMessageGenerated",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoSyslogMIB.ciscoSyslogMIBNotificationPrefix.ciscoSyslogMIBNotifications.clogMessageGenerated",".1.3.6.1.4.1.9.9.41.2.0.1",,,"","CISCO-SYSLOG-MIB","When a syslog message is generated by the device a
clogMessageGenerated notification is sent.  The
sending of these notifications can be enabled/disabled
via the clogNotificationsEnabled object."
