"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"vmNotificationsPrefix",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVlanMembershipMIB.vmNotifications.vmNotificationsPrefix",".1.3.6.1.4.1.9.9.68.2.0",,,"","CISCO-VLAN-MEMBERSHIP-MIB",
"vmVmpsChange",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVlanMembershipMIB.vmNotifications.vmNotificationsPrefix.vmVmpsChange",".1.3.6.1.4.1.9.9.68.2.0.1",,,"","CISCO-VLAN-MEMBERSHIP-MIB","A VMPS change notification is generated whenever
vmVmpsChanges is incremented. The IP address
of the new VMPS is sent."
