"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"imasTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.imas-mob.imasTrapsModule.imasTrapsGroup",".1.3.6.1.4.1.11150.115.5.0",,,"","Roamware-iMAS-V2-MIB",
"imasSysUp",".iso.org.dod.internet.private.enterprises.roamware.imas-mob.imasTrapsModule.imasTrapsGroup.imasSysUp",".1.3.6.1.4.1.11150.115.5.0.1",,,"","Roamware-iMAS-V2-MIB","Indicates that the iMAS instance is up and active."
"imasSysDown",".iso.org.dod.internet.private.enterprises.roamware.imas-mob.imasTrapsModule.imasTrapsGroup.imasSysDown",".1.3.6.1.4.1.11150.115.5.0.2",,,"","Roamware-iMAS-V2-MIB","Indicates that the iMAS instance is shutting down."
"imasDBConn",".iso.org.dod.internet.private.enterprises.roamware.imas-mob.imasTrapsModule.imasTrapsGroup.imasDBConn",".1.3.6.1.4.1.11150.115.5.0.3",,,"","Roamware-iMAS-V2-MIB","Indicates abnormal condition with a database connection pool."
"imasHeartBeat",".iso.org.dod.internet.private.enterprises.roamware.imas-mob.imasTrapsModule.imasTrapsGroup.imasHeartBeat",".1.3.6.1.4.1.11150.115.5.0.4",,,"","Roamware-iMAS-V2-MIB","Indicates a heartbeat to inform that the application is running normally."
"imasResync",".iso.org.dod.internet.private.enterprises.roamware.imas-mob.imasTrapsModule.imasTrapsGroup.imasResync",".1.3.6.1.4.1.11150.115.5.0.5",,,"","Roamware-iMAS-V2-MIB","Indicates start and end of traps resync activity."
